Main Categories,Select characteristics,Total*,All plans to take classes this term have been canceled,Classes are in different formats this term,Fewer classes are being taken this term,More classes are being taken this term,Classes are being taken from a different institution,Classes are being taken for a different kind of certificate or degree,Did not report
Difficulty seeing ,    Cannot do at all,-,-,-,-,-,-,-,-
Difficulty seeing ,    Did not report,"3,325","3,325",-,-,-,-,-,-
Difficulty hearing ,    No difficulty,"1,172,037","439,342","116,198","460,373","52,131","13,865","10,643","91,564"
Difficulty hearing ,    Some difficulty,"104,975","52,571","2,504","41,103","2,113",-,"8,388",-
Difficulty hearing ,    A lot of difficulty,"21,229","5,404","4,954","10,871","10,871",-,-,-
Difficulty hearing ,    Cannot do at all,-,-,-,-,-,-,-,-
Difficulty hearing ,    Did not report,"3,325","3,325",-,-,-,-,-,-
Difficulty remembering or concentrating ,    No difficulty,"766,681","323,573","54,777","268,165","53,839","2,985","7,083","61,187"
Difficulty remembering or concentrating ,    Some difficulty,"467,469","141,108","56,562","226,643","11,277","10,880","8,388","30,377"
Difficulty remembering or concentrating ,    A lot of difficulty,"64,091","32,635","12,318","17,540",-,-,"3,559",-
Difficulty remembering or concentrating ,    Cannot do at all,-,-,-,-,-,-,-,-
Difficulty remembering or concentrating ,    Did not report,"3,325","3,325",-,-,-,-,-,-
Difficulty walking or climbing stairs ,    No difficulty,"1,097,292","415,076","81,231","461,002","52,673","13,564","17,460","77,322"
Difficulty walking or climbing stairs ,    Some difficulty,"128,101","42,287","35,739","39,379","1,571",302,"1,571",-
Difficulty walking or climbing stairs ,    A lot of difficulty,"76,173","43,278","6,688","11,966","10,871",-,-,"14,242"
Difficulty walking or climbing stairs ,    Cannot do at all,-,-,-,-,-,-,-,-
Difficulty walking or climbing stairs ,    Did not report,-,-,-,-,-,-,-,-
